time,Pyr_MEAN,Pyr_STD,Lac_MEAN,Lac_STD
0.0,37302.46536640659,1.0,0.0,1.0
20.0,25957.3,1.0,23.7821,1.0
25.0,23311.1,1.0,31.8187,1.0
30.0,20963.5,1.0,26.8963,1.0
35.0,18959.8,1.0,34.6062,1.0
40.0,17274.5,1.0,37.5574,1.0
45.0,15653.9,1.0,34.4447,1.0
50.0,14314.9,1.0,28.6372,1.0
55.0,12973.0,1.0,28.8913,1.0
60.0,11879.6,1.0,29.0566,1.0
65.0,10790.1,1.0,25.6612,1.0
70.0,9866.83,1.0,28.1102,1.0
75.0,8916.52,1.0,24.8467,1.0
80.0,8106.42,1.0,23.5995,1.0
85.0,7437.94,1.0,22.0143,1.0
90.0,6751.15,1.0,25.3428,1.0
95.0,6181.25,1.0,18.1544,1.0
100.0,5582.2,1.0,24.3492,1.0
105.0,5107.37,1.0,17.9632,1.0
110.0,4635.71,1.0,12.6272,1.0
115.0,4278.03,1.0,19.4004,1.0
120.0,3877.33,1.0,13.4936,1.0
125.0,3493.74,1.0,14.3806,1.0
130.0,3206.03,1.0,17.7987,1.0
135.0,2935.1,1.0,14.6821,1.0
140.0,2670.02,1.0,11.5248,1.0
145.0,2441.39,1.0,2.42752,1.0
150.0,2224.98,1.0,15.2291,1.0
155.0,2036.42,1.0,9.98642,1.0
160.0,1831.04,1.0,11.3112,1.0
165.0,1681.12,1.0,6.19916,1.0
170.0,1533.31,1.0,2.86476,1.0
175.0,1399.49,1.0,0.510872,1.0
180.0,1264.14,1.0,11.8072,1.0
185.0,1145.68,1.0,9.06306,1.0
190.0,1042.38,1.0,10.009,1.0
195.0,969.283,1.0,5.29877,1.0
200.0,895.908,1.0,-1.33538,1.0
205.0,797.034,1.0,0.562582,1.0
210.0,725.515,1.0,1.79625,1.0
215.0,676.491,1.0,10.9951,1.0
220.0,599.242,1.0,3.9326,1.0
225.0,544.343,1.0,2.10272,1.0
230.0,499.285,1.0,2.5342,1.0
235.0,454.141,1.0,5.96999,1.0
240.0,416.467,1.0,2.72241,1.0
245.0,378.559,1.0,-0.357312,1.0
250.0,339.866,1.0,0.015451,1.0
255.0,318.946,1.0,-1.26719,1.0
260.0,279.091,1.0,-2.21984,1.0
265.0,257.022,1.0,3.89708,1.0
270.0,249.853,1.0,3.94433,1.0
275.0,205.911,1.0,-2.27635,1.0
280.0,196.791,1.0,-1.54171,1.0
285.0,174.38,1.0,-0.486671,1.0
290.0,150.798,1.0,2.85647,1.0
295.0,145.849,1.0,-0.483219,1.0
300.0,133.985,1.0,5.47187,1.0
305.0,113.754,1.0,2.73515,1.0
310.0,104.259,1.0,5.60258,1.0
315.0,83.2417,1.0,1.60109,1.0
320.0,82.1331,1.0,1.33744,1.0
325.0,80.6319,1.0,-0.390938,1.0
330.0,71.6469,1.0,1.44918,1.0
335.0,61.0013,1.0,1.85739,1.0
340.0,63.3427,1.0,-4.85434,1.0
345.0,59.7482,1.0,0.555329,1.0
350.0,58.6016,1.0,-1.69321,1.0
355.0,36.7069,1.0,-0.449407,1.0
360.0,48.3763,1.0,-1.13541,1.0
365.0,39.1406,1.0,-2.20365,1.0
370.0,30.7885,1.0,-3.74938,1.0
375.0,28.4081,1.0,4.16083,1.0
380.0,23.1182,1.0,2.51628,1.0
385.0,23.2205,1.0,2.46218,1.0
390.0,19.6721,1.0,-2.52046,1.0
395.0,19.1773,1.0,5.39207,1.0
