Pyr,Lac_AUC-1,Lac_AUC-2,Lac_AUC-3
0.0,3.7542471561339315,-1.8520146557187211,9.259561661204296
0.6,194.86850917507758,106.51040159077647,111.45122970311705
0.8,148.08130741592183,159.38560874609024,120.79144709714679
1.6,382.3283819261509,405.63886179607687,288.32122179485606
3.2,377.8933041317816,348.5638404179527,418.17783553898266
6.0,405.4245974274539,361.3681550845231,317.8509467329603
6.4,467.3033311811639,494.59733845050914,374.0330778408088
8.3,351.7415944749568,338.91002392292387,281.73575588337513
12.8,241.13475559438044,348.09419767104504,286.72187148414287
13.1,214.72708788833842,192.48662700486932,263.5791686878435
18.0,275.8771207921319,222.95216444045641,297.1151094653931
25.6,183.26714608698285,220.34025523990135,202.7417236153405
29.6,126.69223516778563,121.85023530305877,137.24748040847342
40.0,73.38744404009356,84.54123731507626,89.9176901012656
