Exper,Measured_T1,Real_T1
3.2mM_1,48.096636772112554,72.16137981112352
3.2mM_2,51.43052857826926,79.93568003404286
3.2mM_3,49.17512470059941,74.61662892470758
6.4mM_1,52.73672211813442,83.13607517956964
6.4mM_2,50.91149055904146,78.68882459853198
6.4mM_3,49.34925134258937,75.01827347203204
12.8mM_1,51.93940425576372,81.17173922213361
12.8mM_2,54.68435764129996,88.08152479529278
12.8mM_3,52.35369906159305,82.18817357127601
25.6mM_1,55.91693301052005,91.32400087481618
25.6mM_2,56.34846144346043,92.48069903371982
25.6mM_3,55.01839970701681,88.9514217485586
40mM_1,53.697345165429596,85.54870111993118
40mM_2,55.22860953147657,89.50218821913548
40mM_3,54.79786736789606,88.37639262982417
0.8mM_1,48.130079751721645,72.23668698025534
0.8mM_2,46.89674468011874,69.49369203292287
0.8mM_3,47.609594626571536,71.07056271874403
0.6mM_1,45.76337299438752,67.03360978588366
0.6mM_2,46.583723659629726,68.8085440888904
0.6mM_3,44.504057881500586,64.36574282059273
1.6mM_1,48.34650843490073,72.72531294290364
1.6mM_2,49.35144575197233,75.0233445546846
1.6mM_3,49.068472929361945,74.37134937187679
6.0mM_1,52.51962607883844,82.5978359733323
6.0mM_2,51.39543810445572,79.8509447275216
6.0mM_3,51.76332409202202,80.74250102619003
